id;tipo;beneficiario;data;numero;produto_codigo;produto_nome;produto_preco;produto_quantidade
1;COMPRA;Home Loan Account Table Computer;2019-10-12T17:03:52;FTP Savings Account;deposit Tasty Metal Bacon Implementation;Chips;18340;61748
2;COMPRA;web-readiness;2019-10-12T11:28:09;Investment Account Steel;Coordinator;Common;78517;61838
3;COMPRA;Mississippi Refined Rubber Chicken Table;2019-10-12T16:53:50;Factors;South Dakota envisioneer Music;Nakfa;44015;68326
4;VENDA;Games Regional Digitized;2019-10-12T02:33:29;hardware Costa Rica Mayotte;Industrial;connect Markets Chief;59789;72727
5;VENDA;software scale interactive;2019-10-11T22:34:08;compelling mission-critical;bifurcated scalable;Small;98688;42340
6;COMPRA;monitor;2019-10-12T00:57:45;quantify Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;moratorium moratorium;72960;59130
7;COMPRA;Frozen bus;2019-10-12T00:11:59;Idaho compress Avon;system Small;Intelligent Outdoors;63641;47537
8;VENDA;Corporate Phased relationships;2019-10-12T00:19:32;User-centric;Money Market Account;Salad Web virtual;63340;10550
9;VENDA;Ghana back-end National;2019-10-12T10:49:35;Gorgeous Profit-focused synergies;cutting-edge ability Hat;supply-chains magenta;11986;26941
10;VENDA;Mauritania;2019-10-12T01:35:10;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance;3688;26678
